/*********************************************
 * OPL 24.1.0.0 Data
 * Author: pvh
 * Creation Date: Aug 22, 2022 at 3:41:15 PM
 *********************************************/

nbNodes = 104;
nbPaths = 19;

startEvacuationNodes = 0;
endEvacuationNodes = 18;
deadline = 28;

EvacuationData = {
   <0,1995>,
   <1,945>,
   <2,1261>,
   <3,684>,
   <4,1181>,
   <5,1485>,
   <6,1568>,
   <7,984>,
   <8,2042>,
   <9,921>,
   <10,1693>,
   <11,670>,
   <12,1140>,
   <13,1622>,
   <14,1435>,
   <15,1229>,
   <16,921>,
   <17,1197>,
   <18,1188>
};

Paths = [
{<0,0,42>,<1,42,41>,<2,41,39>,<3,39,21>,<4,21,50>,<5,50,49>,<6,49,19>,<7,19,100>,<8,100,102>},
{<0,1,44>,<1,44,42>,<2,42,41>,<3,41,39>,<4,39,21>,<5,21,50>,<6,50,49>,<7,49,19>,<8,19,100>,<9,100,102>},
{<0,2,41>,<1,41,39>,<2,39,21>,<3,21,50>,<4,50,49>,<5,49,19>,<6,19,100>,<7,100,102>},
{<0,3,41>,<1,41,39>,<2,39,21>,<3,21,50>,<4,50,49>,<5,49,19>,<6,19,100>,<7,100,102>},
{<0,4,77>,<1,77,85>,<2,85,23>,<3,23,101>,<4,101,103>},
{<0,5,78>,<1,78,81>,<2,81,85>,<3,85,23>,<4,23,101>,<5,101,103>},
{<0,6,55>,<1,55,62>,<2,62,59>,<3,59,58>,<4,58,80>,<5,80,77>,<6,77,85>,<7,85,23>,<8,23,101>,<9,101,103>},
{<0,7,84>,<1,84,83>,<2,83,82>,<3,82,81>,<4,81,85>,<5,85,23>,<6,23,101>,<7,101,103>},
{<0,8,97>,<1,97,41>,<2,41,39>,<3,39,21>,<4,21,50>,<5,50,49>,<6,49,19>,<7,19,100>,<8,100,102>},
{<0,9,70>,<1,70,46>,<2,46,84>,<3,84,83>,<4,83,82>,<5,82,81>,<6,81,85>,<7,85,23>,<8,23,101>,<9,101,103>},
{<0,10,82>,<1,82,81>,<2,81,85>,<3,85,23>,<4,23,101>,<5,101,103>},
{<0,11,77>,<1,77,85>,<2,85,23>,<3,23,101>,<4,101,103>},
{<0,12,24>,<1,24,25>,<2,25,19>,<3,19,100>,<4,100,102>},
{<0,13,36>,<1,36,37>,<2,37,39>,<3,39,21>,<4,21,50>,<5,50,49>,<6,49,19>,<7,19,100>,<8,100,102>},
{<0,14,31>,<1,31,27>,<2,27,26>,<3,26,49>,<4,49,19>,<5,19,100>,<6,100,102>},
{<0,15,26>,<1,26,49>,<2,49,19>,<3,19,100>,<4,100,102>},
{<0,16,27>,<1,27,26>,<2,26,49>,<3,49,19>,<4,19,100>,<5,100,102>},
{<0,17,20>,<1,20,98>,<2,98,100>,<3,100,102>},
{<0,18,22>,<1,22,23>,<2,23,101>,<3,101,103>}
];

Edges = {
   <19,100,630>,
   <100,19,630>,
   <49,19,630>,
   <19,49,630>,
   <50,49,580>,
   <49,50,580>,
   <21,50,580>,
   <50,21,580>,
   <39,21,580>,
   <21,39,580>,
   <39,41,385>,
   <41,39,385>,
   <41,42,385>,
   <42,41,385>,
   <42,45,385>,
   <45,42,385>,
   <49,26,985>,
   <26,49,740>,
   <84,83,475>,
   <83,84,475>,
   <83,82,475>,
   <82,83,475>,
   <82,81,315>,
   <81,82,475>,
   <81,85,315>,
   <85,81,315>,
   <85,23,475>,
   <23,85,475>,
   <23,101,315>,
   <101,23,315>,
   <82,90,315>,
   <90,82,315>,
   <90,87,315>,
   <87,90,315>,
   <82,87,160>,
   <87,81,160>,
   <26,27,315>,
   <27,26,315>,
   <27,32,315>,
   <32,27,315>,
   <32,76,315>,
   <76,32,315>,
   <76,88,315>,
   <88,76,315>,
   <88,61,370>,
   <60,88,370>,
   <82,79,475>,
   <79,82,315>,
   <79,86,315>,
   <86,79,315>,
   <84,46,475>,
   <46,84,475>,
   <46,45,475>,
   <45,46,475>,
   <45,43,475>,
   <43,45,475>,
   <50,28,250>,
   <28,50,250>,
   <28,31,370>,
   <31,28,370>,
   <31,32,370>,
   <32,31,370>,
   <19,25,250>,
   <25,19,250>,
   <25,93,250>,
   <93,25,250>,
   <93,35,370>,
   <35,93,370>,
   <35,34,370>,
   <34,35,370>,
   <34,33,370>,
   <33,34,370>,
   <33,76,250>,
   <76,33,250>,
   <76,75,250>,
   <75,76,250>,
   <75,74,250>,
   <74,75,250>,
   <74,73,250>,
   <73,74,250>,
   <73,97,250>,
   <97,73,250>,
   <41,40,250>,
   <40,41,250>,
   <86,84,370>,
   <84,86,370>,
   <84,47,250>,
   <47,84,250>,
   <83,48,125>,
   <48,83,125>,
   <70,46,250>,
   <46,70,250>,
   <86,57,495>,
   <57,56,420>,
   <56,55,420>,
   <55,68,420>,
   <68,92,420>,
   <92,69,315>,
   <69,51,315>,
   <51,52,210>,
   <52,53,210>,
   <53,86,495>,
   <53,57,250>,
   <57,58,370>,
   <58,60,370>,
   <61,59,495>,
   <59,56,370>,
   <73,72,250>,
   <72,73,250>,
   <72,71,370>,
   <71,72,370>,
   <71,70,370>,
   <70,71,370>,
   <70,69,370>,
   <69,70,250>,
   <56,53,250>,
   <85,22,250>,
   <22,85,250>,
   <80,60,495>,
   <60,61,280>,
   <61,63,280>,
   <63,65,280>,
   <65,67,280>,
   <67,72,140>,
   <72,95,250>,
   <95,42,250>,
   <42,95,250>,
   <95,71,250>,
   <71,66,140>,
   <66,64,210>,
   <64,62,280>,
   <62,59,280>,
   <59,58,280>,
   <58,80,495>,
   <67,74,105>,
   <74,67,105>,
   <67,66,70>,
   <66,67,70>,
   <96,66,70>,
   <66,96,70>,
   <70,96,250>,
   <96,70,250>,
   <92,96,125>,
   <96,92,125>,
   <64,65,125>,
   <65,64,125>,
   <68,64,250>,
   <64,68,250>,
   <51,68,250>,
   <68,51,250>,
   <63,75,250>,
   <75,63,250>,
   <62,63,250>,
   <63,62,250>,
   <55,62,125>,
   <62,55,250>,
   <54,55,90>,
   <55,54,175>,
   <52,54,90>,
   <54,52,90>,
   <54,53,315>,
   <38,40,125>,
   <40,38,125>,
   <37,39,125>,
   <39,37,125>,
   <36,37,125>,
   <37,36,125>,
   <38,37,90>,
   <37,38,90>,
   <36,38,125>,
   <38,36,125>,
   <97,38,90>,
   <38,97,90>,
   <41,97,250>,
   <97,41,250>,
   <74,36,125>,
   <36,74,125>,
   <30,36,250>,
   <36,30,250>,
   <29,21,250>,
   <21,29,250>,
   <30,29,250>,
   <29,30,250>,
   <28,29,90>,
   <29,28,90>,
   <31,30,210>,
   <30,31,210>,
   <75,30,250>,
   <30,75,250>,
   <27,31,90>,
   <31,27,90>,
   <89,27,125>,
   <27,89,125>,
   <24,89,125>,
   <89,24,125>,
   <25,24,125>,
   <24,25,125>,
   <24,26,250>,
   <26,24,250>,
   <33,89,125>,
   <89,33,125>,
   <34,24,250>,
   <24,34,250>,
   <94,93,250>,
   <93,94,250>,
   <94,35,125>,
   <35,94,125>,
   <20,94,250>,
   <94,20,370>,
   <98,20,315>,
   <20,98,315>,
   <100,98,160>,
   <98,100,160>,
   <77,33,250>,
   <33,77,250>,
   <77,80,250>,
   <80,77,250>,
   <80,78,250>,
   <78,80,250>,
   <77,85,250>,
   <85,77,250>,
   <77,78,250>,
   <78,77,250>,
   <78,79,250>,
   <79,78,250>,
   <83,79,250>,
   <79,83,250>,
   <81,78,250>,
   <78,81,250>,
   <85,91,125>,
   <91,85,125>,
   <91,81,250>,
   <81,91,250>,
   <87,91,250>,
   <91,87,250>,
   <99,51,250>,
   <51,99,250>,
   <44,42,250>,
   <42,44,250>,
   <43,44,125>,
   <44,43,125>,
   <48,47,250>,
   <47,48,250>,
   <48,90,250>,
   <90,48,250>,
   <20,23,370>,
   <23,20,370>,
   <23,22,250>,
   <22,23,250>,
   <0,42,175>,
   <0,95,175>,
   <1,44,175>,
   <2,42,175>,
   <2,41,175>,
   <2,40,175>,
   <3,40,175>,
   <3,41,175>,
   <4,60,175>,
   <4,76,175>,
   <4,33,175>,
   <4,77,175>,
   <5,57,175>,
   <5,58,175>,
   <5,80,175>,
   <5,78,175>,
   <6,55,175>,
   <6,64,175>,
   <7,84,175>,
   <8,97,175>,
   <8,73,175>,
   <9,70,175>,
   <10,82,175>,
   <10,79,175>,
   <11,77,175>,
   <12,24,175>,
   <13,36,175>,
   <14,31,175>,
   <15,26,175>,
   <16,89,175>,
   <16,27,175>,
   <16,32,175>,
   <16,76,175>,
   <16,33,175>,
   <17,20,175>,
   <17,25,175>,
   <18,22,175>,
   <100,102,120305>,
   <101,103,120305>
};
 
